"search-number","evaluation","evals-requested-so-far","number*","%-similar-wanted*","number-of-ethnicities*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","62","160","570","47","5","""-1185647212""","45.96774193548387","65.96491228070175","56.199773627617425","10.006757581072394","45.96774193548387"
"1","63","160","570","47","5","""-832289992""","42.56619144602851","69.2982456140351","55.84875174729393","13.366808898228904","42.56619144602851"
"1","64","160","570","47","5","""1170172010""","44.42190669371197","66.49122807017544","56.389134737867586","11.152254575843015","44.42190669371197"
"1","65","160","570","47","5","""213925861""","40.66390041493776","69.64912280701753","53.91568587959376","14.651099780104351","40.66390041493776"
"1","66","160","570","47","5","""-194772814""","36.897274633123686","67.01754385964912","52.168663106036234","15.06457895691893","36.897274633123686"
"1","67","160","570","47","5","""1913184439""","43.90243902439025","64.73684210526316","54.77299439269018","10.446754377020028","43.90243902439025"
"1","68","160","570","47","5","""2087595924""","43.00202839756592","62.98245614035088","53.2189336406992","9.997926791601738","43.00202839756592"
"1","69","160","570","47","5","""-993260790""","41.224489795918366","65.26315789473685","52.50911507772943","12.086512396504016","41.224489795918366"
"1","70","160","570","47","5","""-857606951""","38.83089770354906","69.47368421052632","55.31272323344498","15.452666450565422","38.83089770354906"
"1","71","160","2140","55","2","""-630046398""","33.06122448979592","59.29906542056075","46.180144955178335","18.55295524583777","33.06122448979592"
"1","72","160","2140","55","2","""1128792405""","33.738425925925924","58.45794392523365","46.09818492557979","17.479338804973413","33.738425925925924"
"1","73","160","2140","55","2","""-773090603""","33.827014218009474","59.95327102803738","46.89014262302342","18.47405335739195","33.827014218009474"
"1","74","160","2140","55","2","""-1159507721""","35.396182764603815","60.32710280373832","47.86164278417107","17.628822620891597","35.396182764603815"
"1","75","160","2140","55","2","""137255790""","33.60607831677382","57.429906542056074","45.517992429414946","16.845990491920556","33.60607831677382"
"1","76","160","2140","55","2","""-470167327""","29.80093676814988","56.49532710280374","43.14813193547681","18.875784425274375","29.80093676814988"
"1","77","160","2140","55","2","""2089775034""","33.504859919954264","57.009345794392516","45.25710285717339","16.620181350118706","33.504859919954264"
"1","78","160","2140","55","2","""1657639320""","33.67875647668394","60.65420560747663","47.16648104208028","19.07452300593627","33.67875647668394"
"1","79","160","2140","55","2","""1521310567""","32.98307063631057","56.9626168224299","44.97284372937024","16.95609971798099","32.98307063631057"
"1","80","160","2140","55","2","""-382799883""","34.39153439153439","60.18691588785047","47.289225139692434","18.240089179339087","34.39153439153439"
"1","81","160","1300","22","4","""-1301539049""","47.23076923076923","47.23076923076923","47.23076923076923","0","47.23076923076923"
"1","82","160","1300","22","4","""336097919""","48.38461538461539","48.38461538461539","48.38461538461539","0","48.38461538461539"
