"search-number","evaluation","evals-requested-so-far","number*","%-similar-wanted*","number-of-ethnicities*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","233","500","2150","97","5","""-1374210102""","49.59128065395095","100","80.75863075632344","16.958818297261622","49.59128065395095"
"1","234","500","2150","97","5","""-68944535""","49.08616187989556","100","81.98114913175414","16.802570490062806","49.08616187989556"
"1","235","500","2150","97","5","""1899272072""","43.3048433048433","100","79.1737259939034","18.67907626924274","43.3048433048433"
"1","236","500","2150","97","5","""-1309628716""","45.86466165413533","100","82.86836278363357","17.41014719585503","45.86466165413533"
"1","237","500","2150","97","5","""-1570473579""","43.69973190348526","100","80.13170903535033","18.511403764318622","43.69973190348526"
"1","238","500","2150","97","5","""930745154""","48.80636604774536","99.95348837209302","80.99802563237473","17.279336338309694","48.80636604774536"
"1","239","500","2150","97","5","""792296839""","45.15235457063712","100","79.99465699407108","17.8702445120667","45.15235457063712"
"1","240","500","2150","97","5","""-406868721""","43.22033898305085","100","79.10463559208856","18.956889578558336","43.22033898305085"
"1","241","500","1880","70","4","""-1720106504""","49.10941475826972","98.61702127659574","75.84244091458669","18.508818938569178","49.10941475826972"
"1","242","500","1880","70","4","""1269616131""","46.25","99.0482233502538","76.56028925369334","18.004871340513496","46.25"
"1","243","500","1880","70","4","""-428124705""","46.90721649484536","98.03191489361703","74.6986533929244","18.532184527495925","46.90721649484536"
"1","244","500","1880","70","4","""577912641""","48.82075471698113","98.88297872340426","79.6922219262362","16.498579802770287","48.82075471698113"
"1","245","500","1880","70","4","""1018548527""","49.122807017543856","99.14893617021276","77.98641580986802","17.680415630616405","49.122807017543856"
"1","246","500","1880","70","4","""-850701618""","48.275862068965516","98.29787234042553","79.34140880036934","16.7707993670949","48.275862068965516"
"1","247","500","1880","70","4","""1962255433""","48.84910485933504","98.36888331242159","77.1121049973677","17.74551876404941","48.84910485933504"
"1","248","500","1880","70","4","""1322968485""","47.92176039119804","98.42072015161087","78.51092946889054","17.753882134593656","47.92176039119804"
"1","249","500","1880","70","4","""-1203557910""","48.34123222748815","98.82978723404256","79.43481379055035","17.910095250641962","48.34123222748815"
"1","250","500","1880","70","4","""-1594325339""","46.318289786223275","97.87234042553192","78.59564650813415","17.612222656360107","46.318289786223275"
"1","251","500","1180","63","5","""-2001456536""","48.157248157248155","93.89830508474576","74.75486725711411","15.372541003102967","48.157248157248155"
"1","252","500","1180","63","5","""-1725851154""","46.695095948827294","95","74.95464966284081","16.265794953047106","46.695095948827294"
"1","253","500","1180","63","5","""-777132326""","47.417840375586856","95","73.63303128180897","16.126814596149256","47.417840375586856"
"1","254","500","1180","63","5","""1674972529""","49.06103286384976","94.91525423728814","72.88252990117056","15.684929858955911","49.06103286384976"
